,GW150914-H1,GW150914-L1,GW151012-H1,GW151012-L1,GW151226-H1,GW151226-L1,GW170104-H1,GW170104-L1,GW170608-H1,GW170608-L1,GW170729-H1,GW170729-L1,GW170729-V1,GW170809-H1,GW170809-L1,GW170809-V1,GW170814-L1,GW170814-V1,GW170817-L1,GW170817-V1,GW170818-L1,GW170818-V1,GW170823-H1,GW170823-L1,GW190412-H1,GW190412-L1,GW190521-H1,GW190521-L1
641,-2.53560444665928e-22,-1.2210212413337045e-23,-7.545710976565266e-23,2.90889908693139e-23,-4.081782113478029e-24,-3.361925003466891e-22,-2.9048167691997907e-23,9.742855559683134e-23,1.4641587515040745e-22,1.2251562864795935e-22,-6.143359692903834e-23,-1.2021413144475474e-22,2.595106328026632e-21,2.073029500137559e-22,4.215893588131205e-23,-5.675993119915882e-22,-4.466550134336697e-23,1.8296218100211172e-22,9.278783694636346e-23,-9.806657990956742e-22,5.795238150817191e-23,1.8453630369994968e-23,5.097805668817063e-23,-5.955741410167271e-24,-2.934119010203031e-23,1.1493388167920762e-22,-6.227029662400341e-23,5.335594847526008e-24
642,-2.411596243474371e-22,8.193113330805065e-24,-1.0651802001670294e-22,2.219803572594357e-22,-1.9004123753530195e-23,-3.7714497788279117e-22,-4.6854608370650935e-23,9.254786599536521e-23,1.3802325132712956e-22,1.4022603390761738e-22,-1.7766950221041522e-23,-1.169631845511589e-22,6.00910552479508e-22,1.6434086800220691e-22,4.392769334990782e-23,-5.769151364866734e-22,-4.3874150094327567e-23,2.6996904306860776e-22,-6.760078400404083e-22,-1.199893149951422e-21,6.624224261613272e-23,1.6787598072992552e-23,3.203221725983827e-23,-2.418631368660402e-23,-4.778918539980166e-23,1.0720632384488768e-22,-7.52784919083193e-23,-2.0503065477261242e-24
643,-2.343698029107892e-22,3.662524984563774e-24,-1.4159084713077075e-22,3.743335213176753e-22,-3.103076682699374e-23,-3.9398502508445463e-22,-6.185031012584573e-23,6.529991500199567e-23,1.251049491511374e-22,1.5576118435045873e-22,3.6513244629665895e-23,-1.1157769849821883e-22,-8.219635697010055e-22,8.704268569209532e-23,3.0449123566607007e-23,-5.250134001056844e-22,-3.96297362791264e-23,3.1027270500877877e-22,-1.1955296603547152e-21,-9.743475387598107e-22,6.401949707398243e-23,-4.1154831284488885e-23,1.3680351360150013e-24,-4.7717100145752e-23,-7.051129567549878e-23,8.726572123022121e-23,-7.345873211826484e-23,-9.586151269655866e-24
644,-2.262006256940502e-22,-3.095320672687882e-23,-1.7847114058258976e-22,4.4439239429159845e-22,-3.931505113943608e-23,-3.862012279789232e-22,-7.362257061328561e-23,2.3046035325692982e-23,1.11052000623795e-22,1.6497656992625266e-22,9.333900165483899e-23,-1.035840745129353e-22,-1.3925003457483322e-21,-8.353226847751951e-24,4.712812404973015e-24,-3.9780310686127004e-22,-2.8931632259760363e-23,2.7936704293347955e-22,-1.3978983277750225e-21,-3.847661894641645e-22,5.443538297550728e-23,-1.3896848410981074e-22,-3.794764891148213e-23,-6.998680865277027e-23,-9.167673233643027e-23,6.527530740671878e-23,-5.21474499953154e-23,-1.56047250054998e-23
645,-2.1035626439536928e-22,-8.831650222522491e-23,-2.0979821693580814e-22,4.259010036931608e-22,-4.2474239381436795e-23,-3.5587393199012646e-22,-8.307395586186938e-23,-2.1948952367871665e-23,9.520601008795693e-23,1.6208792088388037e-22,1.4424117830217477e-22,-9.237048319791967e-23,-1.7619759817861778e-21,-9.984771404828864e-23,-2.684180159452991e-23,-2.0406556873543563e-22,-9.759354939819581e-24,1.7939019410119843e-22,-1.2937310170459965e-21,3.432369916361184e-22,4.164338487031569e-23,-2.472709533461097e-22,-8.001309923112044e-23,-8.421829509526649e-23,-1.027652790302366e-22,4.744315414668e-23,-1.2624344881353747e-23,-1.9088747486826265e-23
646,-1.8402469514324232e-22,-1.5320004225892828e-22,-2.276032916980926e-22,3.404134627306339e-22,-4.0458315968819056e-23,-3.072580081747169e-22,-9.284590549573035e-23,-5.557941623797553e-23,7.381372112041659e-23,1.4317011384573511e-22,1.816411286079898e-22,-7.86092612676777e-23,2.595059644461365e-22,-1.650082138398029e-22,-5.71495953855579e-23,2.629381940786383e-23,1.8526508356064454e-23,3.482754279308346e-23,-9.565043257747136e-22,9.30255433124743e-22,2.965849101392277e-23,-3.3562212857440057e-22,-1.1710210701663097e-22,-8.500740630209949e-23,-9.686766670629993e-23,3.2813868451480546e-23,3.8625892952345305e-23,-1.989013832268516e-23
647,-1.4941064042086977e-22,-2.0747547669559922e-22,-2.2486595582450874e-22,2.2392550924692884e-22,-3.307336205085811e-23,-2.4633692400427314e-22,-1.050978417735309e-22,-6.778576815043292e-23,4.0818239705230406e-23,1.1017819383197348e-22,2.001147521816658e-22,-6.28092838152275e-23,1.272560097936925e-21,-1.8840754106878827e-22,-8.052901179725915e-23,2.5158530075736623e-22,5.481451007639731e-23,-1.176738003893698e-22,-4.941910328901938e-22,1.154740088075743e-21,2.1625400285009735e-23,-3.833004429772118e-22,-1.4143740030180724e-22,-6.992520378096058e-23,-7.259024715095433e-23,1.4677819892470267e-23,9.065960760531729e-23,-1.9119425119356664e-23
648,-1.1126398468695045e-22,-2.3423746168146523e-22,-1.9992450545875608e-22,1.1267337289789936e-22,-2.176149546383592e-23,-1.7967650803496261e-22,-1.210947676420064e-22,-5.557211761987275e-23,-9.359582904212123e-24,7.064503414297373e-23,1.9719437305168018e-22,-4.6625311105770646e-23,3.7765684809162424e-22,-1.656338694393937e-22,-9.485565521521787e-23,4.310554532200405e-22,9.636695119495214e-23,-2.4092719419159736e-22,-1.5481069800741618e-23,9.411517821901054e-22,1.9209118938688153e-23,-3.8583664566608652e-22,-1.4697815968145854e-22,-4.005445890020241e-23,-3.5052527412239144e-23,-1.4618563231690792e-23,1.3209353354470058e-22,-1.8796773555599664e-23
649,-7.449363762780624e-23,-2.2377840425535333e-22,-1.5520023513745788e-22,3.711996845233027e-23,-7.919415683210165e-24,-1.1350755039891717e-22,-1.390553868596648e-22,-2.5154933924680046e-23,-7.687067519230756e-23,3.3963491555764233e-23,1.7390469619251305e-22,-3.126394379592634e-23,1.1349542145626873e-21,-1.0559264742456537e-22,-1.0121442918434961e-22,5.376322725159924e-22,1.3904174418187476e-22,-3.0705663620867563e-22,3.9529124839700633e-22,3.8818569122787177e-22,2.2639086853412275e-23,-3.5446465679439473e-22,-1.310993115346953e-22,-1.5793690019156733e-26,5.9712170413383596e-24,-5.75210705362655e-23,1.536971013528043e-22,-2.1561772144407885e-23
650,-4.0454101183231735e-23,-1.8198504456810673e-22,-9.771099727711041e-23,1.329115571076467e-23,5.619022721965748e-24,-5.25835542577227e-23,-1.5487219674994769e-22,1.1140380546450124e-23,-1.525234451561109e-22,5.784487597911808e-24,1.3458469354053109e-22,-1.85507750245383e-23,1.3056702599826198e-21,-2.71986942712237e-23,-1.031161906545604e-22,5.665083365078433e-22,1.7796896625963191e-22,-3.0337241143337386e-22,6.9142952879698865e-22,-2.7349380942896655e-22,3.0874330157276836e-23,-3.0997636920273307e-22,-9.537989355914781e-23,4.3199089416139956e-23,4.0240070934692504e-23,-1.077040014853943e-22,1.5201634378019132e-22,-2.972782595652625e-23
651,-6.546956972184725e-24,-1.2834023671258006e-22,-3.481470062717846e-23,3.625113716339342e-23,1.6609684369187717e-23,2.2047641306289044e-25,-1.6188655548877637e-22,3.8678558597457894e-23,-2.2024998726954615e-22,-1.3689250187554776e-23,8.622735592895333e-23,-9.056982305378477e-24,-7.143526590350095e-22,4.553930186204559e-23,-1.0392016684800537e-22,5.363246494107799e-22,2.0818629314715122e-22,-2.3542643391404073e-22,8.60757350461817e-22,-7.764526851428357e-22,4.2218261511954126e-23,-2.729849575969744e-22,-4.558797981401615e-23,8.162101834474225e-23,6.094946101584628e-23,-1.5077763974514243e-22,1.293699720938774e-22,-4.468198994808651e-23
652,3.283601389581477e-23,-8.50712604630245e-23,2.5997712322321774e-23,7.563502306165909e-23,2.2200937655601097e-23,4.420081904556687e-23,-1.5374968539958336e-22,4.6892718109192406e-23,-2.649117381061298e-22,-2.845398521668999e-23,3.721765578761307e-23,-3.0240172617266095e-24,-1.912572856897471e-21,9.156219727414228e-23,-1.0543204297207173e-22,4.810399152098721e-22,2.255167494073949e-22,-1.2657952810346975e-22,9.140317502091577e-22,-9.233916855929181e-22,5.472221848567665e-23,-2.553987094169626e-22,9.517019434780646e-24,1.0827026671118297e-22,6.7022992298208e-23,-1.6988035545741757e-22,9.367475627288685e-23,-6.605146509700683e-23
653,8.165997760880783e-23,-6.667059782332146e-23,7.986454787015838e-23,8.810687045728145e-23,2.1114680848114575e-23,8.031331482636611e-23,-1.2567621778218274e-22,3.2436922665011464e-23,-2.7884383657313807e-22,-4.3228200743572934e-23,-3.9917617628067195e-24,1.3309692991164726e-24,-1.470920316974538e-21,9.828641604727216e-23,-1.0640611554269516e-22,4.356924848009392e-22,2.27156519122196e-22,-1.1936674293838703e-23,8.686562718967777e-22,-6.621999189488223e-22,6.669306739267811e-23,-2.5572511397349866e-22,5.997348998653473e-23,1.1853278979413645e-22,6.241687675790608e-23,-1.531911636992291e-22,5.495289093349023e-23,-9.165667481863728e-23
654,1.3903804762802634e-22,-7.736175141097251e-23,1.2228706501281255e-22,3.932474173362787e-23,1.2400308210686165e-23,1.1071434141588126e-22,-7.746120483644318e-23,1.3217986965241153e-24,-2.6231592516277616e-22,-6.152910543664734e-23,-3.0390667165064973e-23,6.319230270467052e-24,-9.215521126312863e-22,6.606259014491613e-23,-1.0335416709776953e-22,4.220542881638812e-22,2.122596735511294e-22,7.370868528706194e-23,7.385072757162749e-22,-9.96214480839164e-23,7.673699787219654e-23,-2.6076434137566694e-22,9.691136919310812e-23,1.113139997859509e-22,5.358034491902019e-23,-1.0033130606605056e-22,2.3176510196963875e-23,-1.175580937470204e-22
655,1.9695345055855816e-22,-1.0853309203368686e-22,1.5016566567935966e-22,-7.210697059398843e-23,-2.6378122523429814e-24,1.3776749474526515e-22,-1.3343340982281048e-23,-3.4150412643170094e-23,-2.2008079586355337e-22,-8.37142204089123e-23,-3.761823384770896e-23,1.5639231920359854e-23,1.5007973291569584e-21,7.0435254441264e-24,-9.151324102292953e-23,4.411349761714394e-22,1.8203076852817047e-22,1.0837485699061848e-22,5.303252037169064e-22,5.474515222365065e-22,8.382929291878203e-23,-2.521180752186924e-22,1.1445226509226772e-22,8.902210922274754e-23,4.6018861247682587e-23,-2.3881821441896807e-23,4.689237364130003e-24,-1.3899495006292367e-22
656,2.433881058994502e-22,-1.3854334419150929e-22,1.597431185039103e-22,-2.122644773557853e-22,-2.2122340139204686e-23,1.6340905779971877e-22,5.756722837852288e-23,-5.915794816342913e-23,-1.5864491143335607e-22,-1.066890366606209e-22,-2.48669146459638e-23,3.2075525070539874e-23,1.4706610052465178e-21,-5.810060934048561e-23,-6.751348906971487e-23,4.751613368999553e-22,1.396874392592495e-22,9.021772174056812e-23,2.4992837245391977e-22,1.0402878924943952e-21,8.7011955497826e-23,-2.1554839712976066e-22,1.1107514365505333e-22,5.709293104229709e-23,4.213675875825349e-23,5.448238147721524e-23,1.6051773385111424e-24,-1.5124433187750017e-22
657,2.673230707989152e-22,-1.4019231111132583e-22,1.496941644389793e-22,-3.294737605574349e-22,-4.221101310930377e-23,1.8829727562730986e-22,1.2436534245846478e-22,-6.283505536367379e-23,-8.547334332038768e-23,-1.2463384204497446e-22,5.008617119072501e-24,5.792219605637148e-23,6.616391706303843e-22,-1.0763638687790045e-22,-3.0901098500564134e-23,4.972969399280355e-22,8.990302666057056e-23,3.6263128278299906e-23,-8.95680232079034e-23,1.208534772654374e-21,8.534054578311653e-23,-1.4849774856773307e-22,8.976252991378498e-23,2.2488567709920696e-23,4.068913250623739e-23,1.1231053847370247e-22,1.0765014887359046e-23,-1.5093995732405428e-22
658,2.6568892526954112e-22,-9.643400481306844e-23,1.2146577394980563e-22,-3.8540115210418315e-22,-5.933290555640706e-23,2.1165015738103118e-22,1.7617041892542148e-22,-4.1501456775085854e-23,-7.653457063856228e-24,-1.3269503636453776e-22,4.58592082563233e-23,9.28304583974543e-23,4.433881549852144e-22,-1.2493717479495157e-22,1.4296550864562366e-23,4.829958990246178e-22,3.819897680339913e-23,-2.693591906261057e-23,-4.596203827225248e-22,1.0086596951053873e-21,7.771651632767878e-23,-6.329553474539011e-23,5.72215907387028e-23,-7.762079363202863e-24,3.82803951896936e-23,1.349808252649074e-22,2.594542128542123e-23,-1.3672220751059876e-22
659,2.451843867610232e-22,-9.01746767993456e-24,8.308031507504153e-23,-3.7255733308696477e-22,-6.923113982288742e-23,2.3114490301992187e-22,2.059208565651097e-22,-7.693945191606105e-25,6.930033522088368e-23,-1.2960250181851283e-22,8.92720053983249e-23,1.349494567453992e-22,4.054531435667506e-22,-1.0451973481227737e-22,6.060951257778791e-23,4.179267432256997e-22,-1.0002740349273844e-23,-7.718842945766499e-23,-8.165170760528379e-22,5.302777333356311e-22,6.316465821487334e-23,1.632759326354835e-23,2.203797395872956e-23,-2.832727222386728e-23,3.139135585351668e-23,1.2131203807648117e-22,3.925906813684598e-23,-1.0978731070187105e-22
